,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
75,1697.0,-0.033452360451915686,-0.06035502958579886,0.026902669133883172,"PearsonRResult(statistic=0.18928230379657007, pvalue=0.48261677164952255)","PearsonRResult(statistic=nan, pvalue=nan)"
76,1699.0,-0.34482915717539875,-0.34482915717539875,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
77,1709.0,-0.42448314880308846,-0.1268378319069572,-0.2976453168961313,"PearsonRResult(statistic=-0.15075421150905374, pvalue=0.5917533657086661)","PearsonRResult(statistic=nan, pvalue=nan)"
78,1716.0,-0.5921036037826566,-0.35462628693675624,-0.23747731684590034,"PearsonRResult(statistic=-0.002002633431361589, pvalue=0.9941270898861105)","PearsonRResult(statistic=nan, pvalue=nan)"
79,1960.0,-0.11692131725503896,-0.20924190466610026,0.0923205874110613,"PearsonRResult(statistic=-0.0062399921397016216, pvalue=0.9823915495100087)","PearsonRResult(statistic=nan, pvalue=nan)"
80,1961.0,-0.4819707714872312,-0.08127243018056052,-0.4006983413066707,"PearsonRResult(statistic=0.08887884273298302, pvalue=0.7727812539316974)","PearsonRResult(statistic=nan, pvalue=nan)"
81,1965.0,-0.040827134076286464,-0.040827134076286464,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
82,1966.0,-2.581725243321731e+30,-3.8378892970623283e+31,3.579716772730155e+31,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
83,1967.0,-1.3887875750174632,-0.13890842013888927,-1.249879154878574,"PearsonRResult(statistic=-0.1670205186298619, pvalue=0.5518747340763929)","PearsonRResult(statistic=nan, pvalue=nan)"
84,1971.0,-0.2662602139620247,-0.005001653439153264,-0.26125856052287144,"PearsonRResult(statistic=-0.022656655217903637, pvalue=0.9414346173216048)","PearsonRResult(statistic=nan, pvalue=nan)"
85,1974.0,-4.3502189937808975,-4.546599388340396,0.1963803945594984,"PearsonRResult(statistic=-0.11306730918237021, pvalue=0.6882668077952013)","PearsonRResult(statistic=nan, pvalue=nan)"
86,1975.0,-0.30315877471080666,-0.008496624103406791,-0.29466215060739986,"PearsonRResult(statistic=-0.306890326597326, pvalue=0.28586019443283345)","PearsonRResult(statistic=nan, pvalue=nan)"
87,1976.0,-0.27998543125315245,-0.08860949799536089,-0.19137593325779156,"PearsonRResult(statistic=-0.5114487237055378, pvalue=0.06157752028368181)","PearsonRResult(statistic=nan, pvalue=nan)"
88,1981.0,-0.43470718833418265,-0.06295409402411356,-0.3717530943100691,"PearsonRResult(statistic=0.17654188231126, pvalue=0.5130776803666308)","PearsonRResult(statistic=nan, pvalue=nan)"
89,1982.0,-0.760609090909091,-0.760609090909091,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
90,1984.0,-0.2857142857142856,-0.2857142857142856,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
91,1986.0,0.04462314111427479,-0.05151527577823356,0.09613841689250835,"PearsonRResult(statistic=0.3523494757952861, pvalue=0.18074085250021996)","PearsonRResult(statistic=nan, pvalue=nan)"
92,1989.0,-0.20098525416062496,-0.4360849056603773,0.23509965149975232,"PearsonRResult(statistic=0.22822320537141771, pvalue=0.4325944015720729)","PearsonRResult(statistic=nan, pvalue=nan)"
93,1990.0,-0.3533996480704946,-0.3533996480704946,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
94,1991.0,-0.2155172413793105,-0.2155172413793105,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
95,1992.0,-2.6787228939306393,-2.6787228939306393,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
96,1993.0,-0.5900751556390407,-1.1014794685990332,0.5114043129599926,"PearsonRResult(statistic=0.022862829011415294, pvalue=0.9355412353466339)","PearsonRResult(statistic=nan, pvalue=nan)"
97,1995.0,-0.005434782608695565,-0.005434782608695565,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
98,1998.0,-0.2239862534542747,-0.09074985474159436,-0.13323639871268034,"PearsonRResult(statistic=0.1525387806611884, pvalue=0.6360164902923953)","PearsonRResult(statistic=nan, pvalue=nan)"
99,1999.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
100,2000.0,-5.174726046378605e+31,-5.174726046378605e+31,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
101,2001.0,-1.4153711937164761,-2.103987347436651,0.6886161537201749,"PearsonRResult(statistic=-0.05848524197584699, pvalue=0.8567258719035395)","PearsonRResult(statistic=nan, pvalue=nan)"
102,2002.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
103,2006.0,-0.013732910156250222,-0.013732910156250222,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
104,2008.0,-2.072766574945106e+31,-6.395343010968155e+31,4.322576436023049e+31,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
105,2009.0,1.0,1.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
106,2010.0,0.004116026611944323,-0.7716836734693879,0.7757997000813323,"PearsonRResult(statistic=0.37718332324497855, pvalue=0.16576950243131613)","PearsonRResult(statistic=nan, pvalue=nan)"
107,2011.0,-2.7167676767676765,-2.7167676767676765,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
